,pair,slow,fast,ema,result,signal
0,USD_JPY,26,12,50,-14.5,9
1,USD_JPY,26,12,100,-22.5,9
2,USD_JPY,26,12,50,-6.0,12
3,USD_JPY,26,12,100,-2.0,12
4,USD_JPY,26,18,50,-10.5,9
5,USD_JPY,26,18,100,-7.0,9
6,USD_JPY,26,18,50,0.5,12
7,USD_JPY,26,18,100,10.0,12
8,USD_JPY,52,12,50,0.0,9
9,USD_JPY,52,12,100,3.5,9
10,USD_JPY,52,12,50,18.5,12
11,USD_JPY,52,12,100,26.5,12
12,USD_JPY,52,18,50,35.0,9
13,USD_JPY,52,18,100,45.0,9
14,USD_JPY,52,18,50,22.0,12
15,USD_JPY,52,18,100,29.0,12
