,pair,slow,fast,ema,result,signal
0,CAD_JPY,26,12,50,-2.0,9
1,CAD_JPY,26,12,100,1.0,9
2,CAD_JPY,26,12,50,-8.5,12
3,CAD_JPY,26,12,100,-3.5,12
4,CAD_JPY,26,18,50,-8.0,9
5,CAD_JPY,26,18,100,-3.0,9
6,CAD_JPY,26,18,50,4.5,12
7,CAD_JPY,26,18,100,24.0,12
8,CAD_JPY,52,12,50,1.5,9
9,CAD_JPY,52,12,100,12.5,9
10,CAD_JPY,52,12,50,-12.0,12
11,CAD_JPY,52,12,100,-9.0,12
12,CAD_JPY,52,18,50,-12.0,9
13,CAD_JPY,52,18,100,-8.5,9
14,CAD_JPY,52,18,50,11.5,12
15,CAD_JPY,52,18,100,18.5,12
