,pair,slow,fast,ema,result,signal
0,CHF_HKD,26,12,50,-67.5,9
1,CHF_HKD,26,12,100,-75.0,9
2,CHF_HKD,26,12,50,-91.0,12
3,CHF_HKD,26,12,100,-98.0,12
4,CHF_HKD,26,18,50,-67.5,9
5,CHF_HKD,26,18,100,-71.0,9
6,CHF_HKD,26,18,50,-41.5,12
7,CHF_HKD,26,18,100,-61.0,12
8,CHF_HKD,52,12,50,-20.0,9
9,CHF_HKD,52,12,100,-34.5,9
10,CHF_HKD,52,12,50,-43.5,12
11,CHF_HKD,52,12,100,-52.0,12
12,CHF_HKD,52,18,50,-61.0,9
13,CHF_HKD,52,18,100,-63.0,9
14,CHF_HKD,52,18,50,-29.5,12
15,CHF_HKD,52,18,100,-10.5,12
