,pair,slow,fast,ema,result,signal
0,CAD_HKD,26,12,50,-88.0,9
1,CAD_HKD,26,12,100,-81.5,9
2,CAD_HKD,26,12,50,-49.0,12
3,CAD_HKD,26,12,100,-19.5,12
4,CAD_HKD,26,18,50,-52.5,9
5,CAD_HKD,26,18,100,-26.5,9
6,CAD_HKD,26,18,50,36.0,12
7,CAD_HKD,26,18,100,43.0,12
8,CAD_HKD,52,12,50,-17.0,9
9,CAD_HKD,52,12,100,2.5,9
10,CAD_HKD,52,12,50,18.0,12
11,CAD_HKD,52,12,100,3.5,12
12,CAD_HKD,52,18,50,28.5,9
13,CAD_HKD,52,18,100,18.5,9
14,CAD_HKD,52,18,50,13.5,12
15,CAD_HKD,52,18,100,12.0,12
